[26/Mar/2019 08:45:22 PM] : [Pagination] | 558
[26/Mar/2019 08:45:22 PM] : [Pagination] | SELECT views_likes.id AS views_table_likes_table_id,post_id AS views_table_likes_table_post_id,views_likes.comment_id    AS views_table_likes_table_comment_id,views_likes.user_id AS views_table_likes_table_user_id,views_likes.firstname AS views_table_likes_table_firstname,views_likes.lastname AS views_table_likes_table_lastname,views_likes.likes_time AS views_table_likes_table_likes_time FROM views_likes WHERE post_id >=497 && post_id <=558;SELECT reply_views_likes.id AS reply_views_likes_table_id,reply_views_likes.reply_id AS reply_views_likes_table_reply_id,post_id AS reply_views_likes_table_post_id,reply_views_likes.comment_id    AS reply_views_likes_table_comment_id,reply_views_likes.user_id AS reply_views_likes_table_user_id,reply_views_likes.firstname AS reply_views_likes_table_firstname,reply_views_likes.lastname AS reply_views_likes_table_lastname,reply_views_likes.likes_time  AS reply_views_likes_table_likes_time FROM reply_views_likes WHERE post_id >=497 && post_id <=558;SELECT * FROM reactions WHERE post_id >=497 && post_id<= 558;
[26/Mar/2019 09:13:14 PM] : [Pagination] | 514
[26/Mar/2019 09:13:14 PM] : [Pagination] | SELECT views_likes.id AS views_table_likes_table_id,post_id AS views_table_likes_table_post_id,views_likes.comment_id    AS views_table_likes_table_comment_id,views_likes.user_id AS views_table_likes_table_user_id,views_likes.firstname AS views_table_likes_table_firstname,views_likes.lastname AS views_table_likes_table_lastname,views_likes.likes_time AS views_table_likes_table_likes_time FROM views_likes WHERE post_id >=459 && post_id <=514;SELECT reply_views_likes.id AS reply_views_likes_table_id,reply_views_likes.reply_id AS reply_views_likes_table_reply_id,post_id AS reply_views_likes_table_post_id,reply_views_likes.comment_id    AS reply_views_likes_table_comment_id,reply_views_likes.user_id AS reply_views_likes_table_user_id,reply_views_likes.firstname AS reply_views_likes_table_firstname,reply_views_likes.lastname AS reply_views_likes_table_lastname,reply_views_likes.likes_time  AS reply_views_likes_table_likes_time FROM reply_views_likes WHERE post_id >=459 && post_id <=514;SELECT * FROM reactions WHERE post_id >=459 && post_id<= 514;
[26/Mar/2019 09:13:17 PM] : [Pagination] | 558
[26/Mar/2019 09:13:17 PM] : [Pagination] | SELECT views_likes.id AS views_table_likes_table_id,post_id AS views_table_likes_table_post_id,views_likes.comment_id    AS views_table_likes_table_comment_id,views_likes.user_id AS views_table_likes_table_user_id,views_likes.firstname AS views_table_likes_table_firstname,views_likes.lastname AS views_table_likes_table_lastname,views_likes.likes_time AS views_table_likes_table_likes_time FROM views_likes WHERE post_id >=497 && post_id <=558;SELECT reply_views_likes.id AS reply_views_likes_table_id,reply_views_likes.reply_id AS reply_views_likes_table_reply_id,post_id AS reply_views_likes_table_post_id,reply_views_likes.comment_id    AS reply_views_likes_table_comment_id,reply_views_likes.user_id AS reply_views_likes_table_user_id,reply_views_likes.firstname AS reply_views_likes_table_firstname,reply_views_likes.lastname AS reply_views_likes_table_lastname,reply_views_likes.likes_time  AS reply_views_likes_table_likes_time FROM reply_views_likes WHERE post_id >=497 && post_id <=558;SELECT * FROM reactions WHERE post_id >=497 && post_id<= 558;
[26/Mar/2019 09:26:39 PM] : [Pagination] | 514
[26/Mar/2019 09:26:39 PM] : [Pagination] | SELECT views_likes.id AS views_table_likes_table_id,post_id AS views_table_likes_table_post_id,views_likes.comment_id    AS views_table_likes_table_comment_id,views_likes.user_id AS views_table_likes_table_user_id,views_likes.firstname AS views_table_likes_table_firstname,views_likes.lastname AS views_table_likes_table_lastname,views_likes.likes_time AS views_table_likes_table_likes_time FROM views_likes WHERE post_id >=459 && post_id <=514;SELECT reply_views_likes.id AS reply_views_likes_table_id,reply_views_likes.reply_id AS reply_views_likes_table_reply_id,post_id AS reply_views_likes_table_post_id,reply_views_likes.comment_id    AS reply_views_likes_table_comment_id,reply_views_likes.user_id AS reply_views_likes_table_user_id,reply_views_likes.firstname AS reply_views_likes_table_firstname,reply_views_likes.lastname AS reply_views_likes_table_lastname,reply_views_likes.likes_time  AS reply_views_likes_table_likes_time FROM reply_views_likes WHERE post_id >=459 && post_id <=514;SELECT * FROM reactions WHERE post_id >=459 && post_id<= 514;
[26/Mar/2019 09:26:39 PM] : [Pagination] | 558
[26/Mar/2019 09:26:39 PM] : [Pagination] | SELECT views_likes.id AS views_table_likes_table_id,post_id AS views_table_likes_table_post_id,views_likes.comment_id    AS views_table_likes_table_comment_id,views_likes.user_id AS views_table_likes_table_user_id,views_likes.firstname AS views_table_likes_table_firstname,views_likes.lastname AS views_table_likes_table_lastname,views_likes.likes_time AS views_table_likes_table_likes_time FROM views_likes WHERE post_id >=497 && post_id <=558;SELECT reply_views_likes.id AS reply_views_likes_table_id,reply_views_likes.reply_id AS reply_views_likes_table_reply_id,post_id AS reply_views_likes_table_post_id,reply_views_likes.comment_id    AS reply_views_likes_table_comment_id,reply_views_likes.user_id AS reply_views_likes_table_user_id,reply_views_likes.firstname AS reply_views_likes_table_firstname,reply_views_likes.lastname AS reply_views_likes_table_lastname,reply_views_likes.likes_time  AS reply_views_likes_table_likes_time FROM reply_views_likes WHERE post_id >=497 && post_id <=558;SELECT * FROM reactions WHERE post_id >=497 && post_id<= 558;
[26/Mar/2019 10:48:47 PM] : [Pagination] | 558
[26/Mar/2019 10:48:47 PM] : [Pagination] | SELECT views_likes.id AS views_table_likes_table_id,post_id AS views_table_likes_table_post_id,views_likes.comment_id    AS views_table_likes_table_comment_id,views_likes.user_id AS views_table_likes_table_user_id,views_likes.firstname AS views_table_likes_table_firstname,views_likes.lastname AS views_table_likes_table_lastname,views_likes.likes_time AS views_table_likes_table_likes_time FROM views_likes WHERE post_id >=497 && post_id <=558;SELECT reply_views_likes.id AS reply_views_likes_table_id,reply_views_likes.reply_id AS reply_views_likes_table_reply_id,post_id AS reply_views_likes_table_post_id,reply_views_likes.comment_id    AS reply_views_likes_table_comment_id,reply_views_likes.user_id AS reply_views_likes_table_user_id,reply_views_likes.firstname AS reply_views_likes_table_firstname,reply_views_likes.lastname AS reply_views_likes_table_lastname,reply_views_likes.likes_time  AS reply_views_likes_table_likes_time FROM reply_views_likes WHERE post_id >=497 && post_id <=558;SELECT * FROM reactions WHERE post_id >=497 && post_id<= 558;
[26/Mar/2019 10:51:27 PM] : [Pagination] | 558
